#SampleID	Metaphlan2_Analysis
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Dermatophilaceae|g__UBA4719|s__UBA4719	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Kineosporiaceae	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Kineosporiaceae|g__Kineosporiaceae	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Kineosporiaceae|g__Kineosporiaceae|s__Kineosporiaceae	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae	13
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Galbitalea	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Galbitalea|s__Galbitalea	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Lacisediminihabitans	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Lacisediminihabitans|s__Lacisediminihabitans	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia_B	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Leifsonia_B|s__Leifsonia_B	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Microbacterium|s__Microbacterium	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Plantibacter	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Plantibacter|s__Plantibacter	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Rhodoglobus	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__Rhodoglobus|s__Rhodoglobus	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__ZJ450	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Microbacteriaceae|g__ZJ450|s__ZJ450	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Micrococcaceae	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Micrococcaceae|g__Citricoccus	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Micrococcaceae|g__Citricoccus|s__Citricoccus	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetia	8
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetia|f__Actinomycetia	8
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetia|f__Actinomycetia|g__Actinomycetia	8
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetia|f__Actinomycetia|g__Actinomycetia|s__Actinomycetia	8
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales	3
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Egibacteraceae	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Egibacteraceae|g__JACCXR01	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Egibacteraceae|g__JACCXR01|s__JACCXR01	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Euzebyales	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Euzebyales|g__Euzebyales	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Euzebyales|f__Euzebyales|g__Euzebyales|s__Euzebyales	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__JACCUZ01	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__JACCUZ01|f__JACCUZ01	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__JACCUZ01|f__JACCUZ01|g__JACCUZ01	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__JACCUZ01|f__JACCUZ01|g__JACCUZ01|s__JACCUZ01	1
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales	10
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae	9
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae|g__JACVRX01	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae|g__JACVRX01|s__JACVRX01	2
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae|g__Jiangellaceae	7
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales|f__Jiangellaceae|g__Jiangellaceae|s__Jiangellaceae	7
d_Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Jiangellales|f__Jiangellales	1
